Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NFO,46151,275,MUTHOOTFIN,MUTHOOTFIN28OCT25P3750,28-OCT-2025,OPTSTK,PE,3750,0.05,
NFO,46150,275,MUTHOOTFIN,MUTHOOTFIN28OCT25C3750,28-OCT-2025,OPTSTK,CE,3750,0.05,
NFO,46149,275,MUTHOOTFIN,MUTHOOTFIN30SEP25P4200,30-SEP-2025,OPTSTK,PE,4200,0.05,
NFO,46148,275,MUTHOOTFIN,MUTHOOTFIN30SEP25C4200,30-SEP-2025,OPTSTK,CE,4200,0.05,
NFO,46147,275,MUTHOOTFIN,MUTHOOTFIN30SEP25P3750,30-SEP-2025,OPTSTK,PE,3750,0.05,
NFO,46146,275,MUTHOOTFIN,MUTHOOTFIN30SEP25C3750,30-SEP-2025,OPTSTK,CE,3750,0.05,
NFO,46145,50,MARUTI,MARUTI25NOV25P21600,25-NOV-2025,OPTSTK,PE,21600,0.05,
NFO,46144,50,MARUTI,MARUTI25NOV25C21600,25-NOV-2025,OPTSTK,CE,21600,0.05,
NFO,46143,50,MARUTI,MARUTI28OCT25P21000,28-OCT-2025,OPTSTK,PE,21000,0.05,
NFO,46142,50,MARUTI,MARUTI28OCT25C21000,28-OCT-2025,OPTSTK,CE,21000,0.05,
NFO,46141,50,MARUTI,MARUTI28OCT25P19100,28-OCT-2025,OPTSTK,PE,19100,0.05,
NFO,46140,50,MARUTI,MARUTI28OCT25C19100,28-OCT-2025,OPTSTK,CE,19100,0.05,
NFO,46139,50,MARUTI,MARUTI30SEP25P21000,30-SEP-2025,OPTSTK,PE,21000,0.05,
NFO,46138,50,MARUTI,MARUTI30SEP25C21000,30-SEP-2025,OPTSTK,CE,21000,0.05,
NFO,46137,50,MARUTI,MARUTI30SEP25P19100,30-SEP-2025,OPTSTK,PE,19100,0.05,
NFO,46136,50,MARUTI,MARUTI30SEP25C19100,30-SEP-2025,OPTSTK,CE,19100,0.05,
NFO,46135,1200,MARICO,MARICO28OCT25P510,28-OCT-2025,OPTSTK,PE,510,0.05,
NFO,46134,1200,MARICO,MARICO28OCT25C510,28-OCT-2025,OPTSTK,CE,510,0.05,
NFO,46133,3600,BANDHANBNK,BANDHANBNK28OCT25P235,28-OCT-2025,OPTSTK,PE,235,0.05,
NFO,46132,3600,BANDHANBNK,BANDHANBNK28OCT25C235,28-OCT-2025,OPTSTK,CE,235,0.05,
NFO,46131,1200,MARICO,MARICO30SEP25P510,30-SEP-2025,OPTSTK,PE,510,0.05,
NFO,46130,1200,MARICO,MARICO30SEP25C510,30-SEP-2025,OPTSTK,CE,510,0.05,
NFO,46129,3000,MANAPPURAM,MANAPPURAM25NOV25P390,25-NOV-2025,OPTSTK,PE,390,0.05,
NFO,46128,3000,MANAPPURAM,MANAPPURAM25NOV25C390,25-NOV-2025,OPTSTK,CE,390,0.05,
NFO,46127,3000,MANAPPURAM,MANAPPURAM28OCT25P420,28-OCT-2025,OPTSTK,PE,420,0.05,
NFO,46126,3000,MANAPPURAM,MANAPPURAM28OCT25C420,28-OCT-2025,OPTSTK,CE,420,0.05,
NFO,46125,3000,MANAPPURAM,MANAPPURAM28OCT25P385,28-OCT-2025,OPTSTK,PE,385,0.05,
NFO,46124,3000,MANAPPURAM,MANAPPURAM28OCT25C385,28-OCT-2025,OPTSTK,CE,385,0.05,
NFO,46123,3000,MANAPPURAM,MANAPPURAM30SEP25P420,30-SEP-2025,OPTSTK,PE,420,0.05,
NFO,46122,3000,MANAPPURAM,MANAPPURAM30SEP25C420,30-SEP-2025,OPTSTK,CE,420,0.05,
NFO,46121,3000,MANAPPURAM,MANAPPURAM30SEP25P385,30-SEP-2025,OPTSTK,PE,385,0.05,
NFO,46120,3000,MANAPPURAM,MANAPPURAM30SEP25C385,30-SEP-2025,OPTSTK,CE,385,0.05,
NFO,46119,425,LUPIN,LUPIN28OCT25P2660,28-OCT-2025,OPTSTK,PE,2660,0.05,
NFO,46118,425,LUPIN,LUPIN28OCT25C2660,28-OCT-2025,OPTSTK,CE,2660,0.05,
NFO,46117,425,LUPIN,LUPIN30SEP25P2660,30-SEP-2025,OPTSTK,PE,2660,0.05,
NFO,46116,425,LUPIN,LUPIN30SEP25C2660,30-SEP-2025,OPTSTK,CE,2660,0.05,
NFO,46115,150,LTIM,LTIM28OCT25P6900,28-OCT-2025,OPTSTK,PE,6900,0.05,
NFO,46114,150,LTIM,LTIM28OCT25C6900,28-OCT-2025,OPTSTK,CE,6900,0.05,
NFO,46113,150,LTIM,LTIM30SEP25P6900,30-SEP-2025,OPTSTK,PE,6900,0.05,
NFO,46112,150,LTIM,LTIM30SEP25C6900,30-SEP-2025,OPTSTK,CE,6900,0.05,
NFO,46111,4462,LTF,LTF28OCT25P330,28-OCT-2025,OPTSTK,PE,330,0.05,
NFO,46110,4462,LTF,LTF28OCT25C330,28-OCT-2025,OPTSTK,CE,330,0.05,
NFO,46109,4462,LTF,LTF28OCT25P292.5,28-OCT-2025,OPTSTK,PE,292.5,0.05,
NFO,46108,4462,LTF,LTF28OCT25C292.5,28-OCT-2025,OPTSTK,CE,292.5,0.05,
NFO,46107,4462,LTF,LTF30SEP25P330,30-SEP-2025,OPTSTK,PE,330,0.05,
NFO,46106,4462,LTF,LTF30SEP25C330,30-SEP-2025,OPTSTK,CE,330,0.05,
NFO,46105,4462,LTF,LTF30SEP25P292.5,30-SEP-2025,OPTSTK,PE,292.5,0.05,
NFO,46104,4462,LTF,LTF30SEP25C292.5,30-SEP-2025,OPTSTK,CE,292.5,0.05,
NFO,46103,175,LT,LT25NOV25P4900,25-NOV-2025,OPTSTK,PE,4900,0.05,
NFO,46102,175,LT,LT25NOV25C4900,25-NOV-2025,OPTSTK,CE,4900,0.05,
NFO,46101,175,LT,LT28OCT25P5200,28-OCT-2025,OPTSTK,PE,5200,0.05,
NFO,46100,175,LT,LT28OCT25C5200,28-OCT-2025,OPTSTK,CE,5200,0.05,
NFO,46099,175,LT,LT30SEP25P5200,30-SEP-2025,OPTSTK,PE,5200,0.05,
NFO,46098,175,LT,LT30SEP25C5200,30-SEP-2025,OPTSTK,CE,5200,0.05,
NFO,46097,400,KOTAKBANK,KOTAKBANK25NOV25P2600,25-NOV-2025,OPTSTK,PE,2600,0.05,
NFO,46096,400,KOTAKBANK,KOTAKBANK25NOV25C2600,25-NOV-2025,OPTSTK,CE,2600,0.05,
NFO,46095,400,KOTAKBANK,KOTAKBANK28OCT25P3000,28-OCT-2025,OPTSTK,PE,3000,0.05,
NFO,46094,400,KOTAKBANK,KOTAKBANK28OCT25C3000,28-OCT-2025,OPTSTK,CE,3000,0.05,
NFO,46093,400,KOTAKBANK,KOTAKBANK28OCT25P2960,28-OCT-2025,OPTSTK,PE,2960,0.05,
NFO,46092,400,KOTAKBANK,KOTAKBANK28OCT25C2960,28-OCT-2025,OPTSTK,CE,2960,0.05,
NFO,46091,400,KOTAKBANK,KOTAKBANK28OCT25P2660,28-OCT-2025,OPTSTK,PE,2660,0.05,
NFO,46090,400,KOTAKBANK,KOTAKBANK28OCT25C2660,28-OCT-2025,OPTSTK,CE,2660,0.05,
NFO,46089,400,KOTAKBANK,KOTAKBANK30SEP25P3000,30-SEP-2025,OPTSTK,PE,3000,0.05,
NFO,46088,400,KOTAKBANK,KOTAKBANK30SEP25C3000,30-SEP-2025,OPTSTK,CE,3000,0.05,
NFO,46087,175,KEI,KEI30SEP25P5100,30-SEP-2025,OPTSTK,PE,5100,0.05,
NFO,46086,175,KEI,KEI30SEP25C5100,30-SEP-2025,OPTSTK,CE,5100,0.05,
NFO,46085,400,KOTAKBANK,KOTAKBANK30SEP25P2960,30-SEP-2025,OPTSTK,PE,2960,0.05,
NFO,46084,400,KOTAKBANK,KOTAKBANK30SEP25C2960,30-SEP-2025,OPTSTK,CE,2960,0.05,
NFO,46083,400,KOTAKBANK,KOTAKBANK30SEP25P2660,30-SEP-2025,OPTSTK,PE,2660,0.05,
NFO,46082,400,KOTAKBANK,KOTAKBANK30SEP25C2660,30-SEP-2025,OPTSTK,CE,2660,0.05,
NFO,46081,175,KEI,KEI28OCT25P5700,28-OCT-2025,OPTSTK,PE,5700,0.05,
NFO,46080,175,KEI,KEI28OCT25C5700,28-OCT-2025,OPTSTK,CE,5700,0.05,
NFO,46079,175,KEI,KEI28OCT25P5250,28-OCT-2025,OPTSTK,PE,5250,0.05,
NFO,46078,175,KEI,KEI28OCT25C5250,28-OCT-2025,OPTSTK,CE,5250,0.05,
NFO,46077,175,KEI,KEI30SEP25P5700,30-SEP-2025,OPTSTK,PE,5700,0.05,
NFO,46076,175,KEI,KEI30SEP25C5700,30-SEP-2025,OPTSTK,CE,5700,0.05,
NFO,46075,175,KEI,KEI30SEP25P5250,30-SEP-2025,OPTSTK,PE,5250,0.05,
NFO,46074,175,KEI,KEI30SEP25C5250,30-SEP-2025,OPTSTK,CE,5250,0.05,
NFO,46073,675,JSWSTEEL,JSWSTEEL25NOV25P1420,25-NOV-2025,OPTSTK,PE,1420,0.05,
NFO,46072,675,JSWSTEEL,JSWSTEEL25NOV25C1420,25-NOV-2025,OPTSTK,CE,1420,0.05,
NFO,46071,675,JSWSTEEL,JSWSTEEL28OCT25P1540,28-OCT-2025,OPTSTK,PE,1540,0.05,
NFO,46070,675,JSWSTEEL,JSWSTEEL28OCT25C1540,28-OCT-2025,OPTSTK,CE,1540,0.05,
NFO,46069,675,JSWSTEEL,JSWSTEEL28OCT25P1410,28-OCT-2025,OPTSTK,PE,1410,0.05,
NFO,46068,675,JSWSTEEL,JSWSTEEL28OCT25C1410,28-OCT-2025,OPTSTK,CE,1410,0.05,
NFO,46067,675,JSWSTEEL,JSWSTEEL30SEP25P1540,30-SEP-2025,OPTSTK,PE,1540,0.05,
NFO,46066,675,JSWSTEEL,JSWSTEEL30SEP25C1540,30-SEP-2025,OPTSTK,CE,1540,0.05,
NFO,46065,675,JSWSTEEL,JSWSTEEL30SEP25P1410,30-SEP-2025,OPTSTK,PE,1410,0.05,
NFO,46064,675,JSWSTEEL,JSWSTEEL30SEP25C1410,30-SEP-2025,OPTSTK,CE,1410,0.05,
NFO,46063,1000,JSWENERGY,JSWENERGY25NOV25P800,25-NOV-2025,OPTSTK,PE,800,0.05,
